id,name,document
479385,寶寶·吻仔魚小白菜蛋黃粥,米 吻仔魚 小白菜 蛋黃
474407,小白菜吻仔魚粥,白米 小白菜 糖 吻仔魚 胡椒粉 蒜末 米酒
467864,蒜炒金針菇小白菜,金針菇 小白菜 蒜頭 辣椒 香油 鹽巴白胡椒粉
460978,韓式小白菜泡菜(二),蚵白菜 胡蘿蔔 白飯 洋蔥 蒜頭 韭菜 薑 熟黑芝麻 蝦皮 熟白芝麻 砂糖 粗辣椒片 韓式粗辣椒粉 玉筋魚露 鯷魚魚露 鯷魚高湯
462213,懶人料理-微波爐-雞肉小白菜,小白菜 雞絞肉 醬油 大蒜粉 胡椒粉 香油
447706,三杯小白菜,小白菜段 薑絲 蒜碎 辣椒 酒 味霖 醬油 昆布柴魚高湯 香油 九層塔葉
449916,薑絲小白菜 / 家常菜,小白菜 嫩薑絲
446118,小白菜炒甜不辣,小白菜 甜不辣條 雞粉 糖
448828,小白菜雞肉湯,雞腿肉 小白菜 米酒
453904,小白菜燴炸腐竹,小白菜 炸腐竹 醬油 薑 蒜片 花椒 乾辣椒切小段
429631,小白菜炒蛋,小白菜 蒜末 雞蛋 柴魚粉
434384,蒜炒小白菜/快炒/5分鐘/簡單快速,小白菜 蒜頭
436784,清炒小白菜,小白菜 薑絲 塩
438263,炒青菜｜薑絲小白菜,小白菜 薑絲 鹽及鮮味炒手
433844,小白菜豆皮,小白菜 豆皮 薑 味精 蒜 米酒 辣椒
422712,炒小白菜,小白菜 薑
439385,60🍱蜂蜜奶油豬肉、蔥爆豬肉、蛋炒小白菜,豬肉片 小白菜 蛋
437922,小白菜炒肉片（減脂料理）,小白菜 豬肉片 蒜頭 提鮮調料鮮味炒手或雞粉 醬油 辣椒 米酒 薑 胡椒粉 蒜頭 辣椒
425372,香菇炒小白菜,小白菜 鮮香菇 辣椒 蒜頭 蔥 米酒 白胡椒
434838,我的家常菜～小白菜炒泡麵,小白菜 統一肉燥麵特大號 統一肉燥麵特大號調味包 泰山玄米油
424940,素食 小白菜炒飯,白飯或隔夜飯 小白菜 白胡椒粉 胡蘿蔔 雞蛋
428985,韓式涼拌小白菜얼갈이된장무침,小白菜 蔥末 蒜末 韓式大醬 韓式辣椒醬 砂糖 芝麻油 熟白芝麻
416776,小白菜煎蛋,小白菜 雞蛋 白胡椒粉
435823,我的家常菜～油蔥酥小白菜蛋花湯,日正油蔥酥 小白菜 台鹽精製鹽 雞蛋 康寶鮮味炒手 小磨坊白胡椒粉 泰山玄米油 福壽純芝麻油
415973,蘑菇小白菜,蘑菇 小白菜 蒜 味精 香油 米酒
425292,蝦仁清炒小白菜,小白菜 蝦仁 薑 蒜
479390,鹹魚炒白菜,小白菜 鹹鯖魚片 紅辣椒 米酒 薑 糖
438332,55🍱麻婆豆腐起司飯、炒小白菜,愛之味麻婆豆腐罐頭 豬絞肉 起司
418495,小白菜餛飩湯,餛飩 小白菜
418842,薑絲炒小白菜,小白菜 薑絲
428101,42🍱檸檬雞、炒小白菜,無骨雞腿排 小白菜
439244,56🍱雪花牛、小白菜、透抽之小火鍋,雪花牛 小白菜 透抽
428700,腐乳清炒小白菜(純素),小白菜 老薑 純素豆腐乳 植物油 砂糖 香菇粉
469925,簡易米紙蚵仔煎,米紙 蚵仔 小白菜 雞蛋
474024,《鱸魚米粉湯》,鱸魚肉 米粉 小白菜 蔥 米酒
411308,小白菜泡菜얼갈이김치,小白菜 薑 蔥 蒜頭 麵粉 韭菜 蘋果 昆布高湯 胡蘿蔔 洋蔥 熟白芝麻 蝦皮 金鉤蝦 魚露 韓式粗辣椒粉
434368,免開火蒜香小白菜/熱水瓶料理/5分鐘,小白菜 沸水 現成蒜香醬 有蓋耐熱盒
413963,小白菜炒豆包,小白菜 豆包 主鍋 蒜頭 十字刀頭 蝦米 紅蘿蔔 醬油 米酒 糖
476181,蔬菜肉湯炒麵,火鍋肉片 小白菜 盬 蒽 味精 雞蛋 素蠔油 黃麵
476487,家常炒麵,豬肉 蒜頭 紅蘿蔔切絲 小白菜或青江菜 烏醋
474764,鯛魚紅燒蕃茄麵,鯛魚片 小白菜 牛蕃茄 蒜頭 蔥花 麵條 辣豆瓣醬
472273,南瓜蔬菜湯/素/10分鐘/零廚藝,南瓜 高麗菜 小玉米 蕃茄 豆腐 雪白菇 小白菜
405783,炒小白菜🥬,小白菜 薑絲 蒜頭
473712,低卡蝦仁煎🍤🔹樂樂瑪麻,蝦仁 雞蛋 番茄醬 越南米紙 蒜蓉醬 小白菜
417460,小白菜全麥雞蛋煎餅,全麥麵粉全粒粉 雞蛋 小白菜 烹大師鰹魚粉
474064,台式海鮮麵-朝日鍋,洋蔥 薑 小卷圈 明蝦 竹夾魚片 扇貝 小白菜
406925,小白菜炒菇菇,小白菜 美白菇 蒜末 柴魚粉 薑絲
408206,小白菜肉絲炒冬粉,小白菜 肉絲 米酒 冬粉 白胡椒粉 鰹魚高湯或醬油 醬油 太白粉
468979,（超簡單）青菜豆腐湯,小白菜 雞蛋豆腐 康寶雞湯塊
